UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 46,PULAU PINANG,P. 46,NIBONG TEBAL,BN - GERAKAN,DR. GOH CHENG TEIK,MALE,52,
P. 47,PULAU PINANG,P. 47,BUKIT BENDERA,BN - GERAKAN,CHIA KWANG CHYE,MALE,43,
P. 48,PULAU PINANG,P. 48,TANJONG,DAP,LIM KIT SIANG,MALE,54,
P. 49,PULAU PINANG,P. 49,JELUTONG,DAP,KARPAL SINGH A/L RAM SINGH,MALE,55,
P. 50,PULAU PINANG,P. 50,BAYAN BARU,BN - MCA,WONG KAM HOONG,MALE,48,
P. 51,PULAU PINANG,P. 51,BALIK PULAU,BN - UMNO,NUNGSARI BIN AHMAD RADHI,MALE,35,
P. 52,PERAK,P. 52,GERIK,BN - UMNO,MOHAMAD TAJOL ROSLI BIN MOHD GHAZALI,MALE,51,
P. 53,PERAK,P. 53,LARUT,BN - UMNO,MOHD ZIHIM BIN MOHD HASSAN,MALE,56,Y
P. 54,PERAK,P. 54,PARIT BUNTAR,BN - UMNO,ABDUL RAHMAN BIN HAJI SULAIMAN,MALE,,
P. 55,PERAK,P. 55,BAGAN SERAI,BN - UMNO,QAMARUZ ZAMAN BIN HAJI ISMAIL,MALE,59,
P. 56,PERAK,P. 56,BUKIT GANTANG,BN - UMNO,ABDULLAH FADZIL BIN CHE WAN,MALE,50,
P. 57,PERAK,P. 57,TAIPING,BN - GERAKAN,KER (KERK) KIM TIM @ KERK CHOO TING,MALE,54,
P. 58,PERAK,P. 58,CHENDEROH,BN - UMNO,MOHAMED NAZRI BIN ABDUL AZIZ,MALE,41,
P. 59,PERAK,P. 59,SUNGAI SIPUT,BN - MIC,S. SAMY VELLU A/L SANGALIMUTHU,MALE,59,
P. 60,PERAK,P. 60,TAMBUN,BN - UMNO,AHMAD HUSNI BIN MOHAMAD HANADZLAH,MALE,43,
P. 61,PERAK,P. 61,IPOH TIMOR,BN - MCA,CHANG KON YOU @ CHEN KWAN WU,MALE,47,
P. 62,PERAK,P. 62,IPOH BARAT,BN - MCA,HO CHEONG SING,MALE,46,
P. 63,PERAK,P. 63,BATU GAJAH,BN - MCA,YEONG CHEE WAH,MALE,45,
P. 64,PERAK,P. 64,KUALA KANGSAR,BN - UMNO,RAFIDAH BT. AB. AZIZ,FEMALE,52,
P. 65,PERAK,P. 65,BERUAS,BN - GERAKAN,LIM KENG YAIK @ LIM KHENG HEANG,MALE,56,
P. 66,PERAK,P. 66,PARIT,BN - UMNO,AINON KHARIYAH BINTI MOHD. ABAS,FEMALE,51,
P. 67,PERAK,P. 67,GOPENG,BN - MCA,DR. TING CHEW PEH,MALE,52,
P. 68,PERAK,P. 68,KAMPAR,BN - MCA,HEW SEE TONG,MALE,64,
P. 69,PERAK,P. 69,TAPAH,BN - MIC,K. KUMARAN A/L KARUNAGARAN,MALE,58,
P. 70,PERAK,P. 70,PASIR SALAK,BN - UMNO,MEGAT JUNID BIN MEGAT AYOB,MALE,52,
P. 71,PERAK,P. 71,LUMUT,BN - MCA,YAP THONG @ YAP YIT THONG,MALE,51,
P. 72,PERAK,P. 72,BAGAN DATOK,BN - UMNO,AHMAD ZAHID BIN HAMDI,MALE,42,
P. 73,PERAK,P. 73,TELOK INTAN,BN - GERAKAN,ONG TIN KIM @ WONG THEAN CHING,MALE,57,
P. 74,PERAK,P. 74,TANJONG MALIM,BN - MCA,LOKE YUEN YOW,MALE,43,
P. 75,PAHANG,P. 75,LIPIS,BN - UMNO,ABU DAHARI BIN OSMAN,MALE,47,
P. 76,PAHANG,P. 76,RAUB,BN - MCA,TENG AH LUAN @ TENG GAIK KWAN,FEMALE,56,
P. 77,PAHANG,P. 77,JERANTUT,BN - UMNO,AHMAD KAMARUZAMAN BIN MOHAMED BARIA,MALE,47,
P. 78,PAHANG,P. 78,KUANTAN,BN - UMNO,FAUZI BIN ABDUL RAHMAN,MALE,49,
P. 79,PAHANG,P. 79,PAYA BESAR,BN - UMNO,SITI ZAHARAH BINTI SULAIMAN,FEMALE,46,
