UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2022),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,PBM,PBM CANDIDATE,PBM CANDIDATE GENDER,PBM CANDIDATE AGE,PBM VOTE,PBM CANDIDATE LOST DEPOSIT,PEJUANG,PEJUANG CANDIDATE,PEJUANG CANDIDATE GENDER,PEJUANG CANDIDATE AGE,PEJUANG VOTE,PEJUANG CANDIDATE LOST DEPOSIT,MUDA,MUDA CANDIDATE,MUDA CANDIDATE GENDER,MUDA CANDIDATE AGE,MUDA VOTE,MUDA CANDIDATE  LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARSIAN VOTE,WARISAN CANDIDATE LOST DEPOSIT,PSM,PSM CANDIDATE,PSM CANDIDATE GENDER,PSM CANDIDATE AGE,PSM VOTE,PSM CANDIDATE LOST DEPOSIT,PUTRA,PUTRA CANDIDATE,PUTRA CANDIDATE GENDER,PUTRA CANDIDATE AGE,PUTRA VOTE,PUTRA CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.144_N. 11,JOHOR,P.144,LEDANG,N. 11,SEROM,BN-UMNO,,39018,699,58.05,22651,108,387,22156,UMNO,KHAIRIN-NISA,FEMALE,57,8507,,PAN,ASIM ABDULLAH,MALE,32,5509,,PAS,USTAZ TOK RAHMAT,MALE,51,7808,,,,,,,,PEJUANG,ABDUL AZIM BIN ABDUL MALEK,MALE,34,332,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.145_N. 12,JOHOR,P.145,BAKRI,N. 12,BENTAYAN,PH-DAP,,34728,7476,49.91,17334,91,239,17004,MCA,GAN Q'I RU,FEMALE,39,3497,,DAP,NG YAK HOWE,MALE,49,10973,,GERAKAN,EDDY TAN KOK HONG,MALE,39,2534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.145_N. 13,JOHOR,P.145,BAKRI,N. 13,SIMPANG JERAM,PH-PAN,,40014,2399,54.72,21897,141,387,21369,UMNO,DATUK LOKMAN MD DON,MALE,60,6062,,PAN,DATUK SERI SALAHUDDIN AYUB,MALE,60,8749,,PAS,USTAZ ZARUL BIN SALLEH,MALE,43,6350,,,,,,,,PEJUANG,MAHAIZAL BIN MAHMOR,MALE,50,208,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.145_N. 14,JOHOR,P.145,BAKRI,N. 14,BUKIT NANING,BN-UMNO,,22594,1535,64.4,14550,56,238,14256,UMNO,DATUK HJ MOHD FUAD,MALE,53,5437,,PKR,MD YSAHRUDIN BIN KUSNI,MALE,43,3317,,PPBM,HJ. MAHADZIR BIN HJ ABU SAID,MALE,56,3902,,,,,,,,PEJUANG,DATO' IBRAHIM BIN SHAFE'E,MALE,57,86,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,S. JEGANATHAN,MALE,53,1514,LOST DEPOSIT,,,,,,,,,,,,
P.146_N. 15,JOHOR,P.146,MUAR,N. 15,MAHARANI,PN-PAS,,38596,1037,55.76,21523,151,356,21016,UMNO,NOOR FARAH BINTI SHAMSUDIN,FEMALE,36,5861,,PAN,NOR HAYATI BACHOK,FEMALE,60,6522,,PAS,HJ. ABDUL AZIZ TALIB,MALE,64,7559,,PBM,HANIS ASMUI,MALE,27,190,LOST DEPOSIT,PEJUANG,RIAD BIN AHMAD,MALE,37,292,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,LIM KIM JOO,MALE,58,592,LOST DEPOSIT,,,,,,,,,,,,
P.146_N. 16,JOHOR,P.146,MUAR,N. 16,SUNGAI BALANG,BN-UMNO,,30121,2293,61.83,18624,93,331,18200,UMNO,SELAMAT BIN TAKIM,MALE,56,8294,,PKR,CIKGU ABDULLAH,MALE,59,3576,,PPBM,DATUK HJ ZAINUDIN BIN SAYUTI,MALE,61,6001,,,,,,,,PEJUANG,INTAN NADIRA SHAFIKA,FEMALE,28,329,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.147_N. 17,JOHOR,P.147,PARIT SULONG,N. 17,SEMERAH,BN-UMNO,,46640,4041,61.36,28620,161,543,27916,UMNO,MOHD FARED KHALID,MALE,42,12542,,PKR,KHUZZAN,MALE,54,6265,,PPBM,DATUK ARISS BIN SAMSUDIN,MALE,66,8501,,,,,,,,PEJUANG,MAHDZIR BIN IBRAHIM,MALE,46,361,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,PUTRA,KAMAROLZAMAN BIN MOHD JIDI,MALE,65,247,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.147_N. 18,JOHOR,P.147,PARIT SULONG,N. 18,SRI MEDAN,BN-UMNO,,32696,6274,68.02,22241,139,350,21752,UMNO,DATO' ZULKURNAIN BIN HJ.KAMISAN,MALE,50,13165,,PKR,AZMI BIN MASRANI,MALE,68,1537,LOST DEPOSIT,PAS,HALIM OTHMAN BIN KEPOL,MALE,57,6891,,,,,,,,PEJUANG,MOHD FIRDAUS BIN ABDUL MALEK,MALE,39,159,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.148_N. 19,JOHOR,P.148,AYER HITAM,N. 19,YONG PENG,BN-MCA,,33053,2741,57.53,19017,83,254,18680,MCA,AH SOON,MALE,38,9870,,DAP,ALAN TEE BOON TSONG,MALE,43,7129,,GERAKAN,SUSAN YONG,FEMALE,54,1681,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.148_N. 20,JOHOR,P.148,AYER HITAM,N. 20,SEMARANG,BN-UMNO,,27734,5846,66.75,18513,224,330,17959,UMNO,DATUK SAMSOLBARI,MALE,62,11122,,PKR,HARYATI ABU NASIR,FEMALE,52,1331,LOST DEPOSIT,PPBM,SHAZANI A HAMID,FEMALE,31,5276,,,,,,,,PEJUANG,ADZLAN BIN HJ RAJU,MALE,52,230,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
