UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2022),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,PBM,PBM CANDIDATE,PBM CANDIDATE GENDER,PBM CANDIDATE AGE,PBM VOTE,PBM CANDIDATE LOST DEPOSIT,PEJUANG,PEJUANG CANDIDATE,PEJUANG CANDIDATE GENDER,PEJUANG CANDIDATE AGE,PEJUANG VOTE,PEJUANG CANDIDATE LOST DEPOSIT,MUDA,MUDA CANDIDATE,MUDA CANDIDATE GENDER,MUDA CANDIDATE AGE,MUDA VOTE,MUDA CANDIDATE  LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARSIAN VOTE,WARISAN CANDIDATE LOST DEPOSIT,PSM,PSM CANDIDATE,PSM CANDIDATE GENDER,PSM CANDIDATE AGE,PSM VOTE,PSM CANDIDATE LOST DEPOSIT,PUTRA,PUTRA CANDIDATE,PUTRA CANDIDATE GENDER,PUTRA CANDIDATE AGE,PUTRA VOTE,PUTRA CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.153_N. 31,JOHOR,P.153,SEMBRONG,N. 31,KAHANG,BN-MIC,,29343,6698,58.92,17288,95,465,16728,MIC,R. VIDYANANTHAN,MALE,49,10486,,PAN,ROHANI BANU,FEMALE,48,2181,,PPBM,DAUD,MALE,51,3788,,,,,,,,PEJUANG,ROSDI AMIR,MALE,50,273,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.154_N. 32,JOHOR,P.154,MERSING,N. 32,ENDAU,PN-PPBM,,27924,3041,55.41,15474,61,212,15201,UMNO,YOUZAIMI,MALE,48,5392,,PAN,MOHAMMAD FAKRULRADZI,MALE,32,1154,LOST DEPOSIT,PPBM,ALWIYAH TALIB,FEMALE,60,8433,,,,,,,,PEJUANG,MOHD NOORHISYAM BIN IBRAHIM,MALE,36,145,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - LORRY,ISMAIL BIN DON,MALE,,77,LOST DEPOSIT,,,,,,,,,,,,
P.154_N. 33,JOHOR,P.154,MERSING,N. 33,TENGGAROH,BN-MIC,,38408,1356,57.23,21982,117,423,21442,MIC,RAVEN KUMAR KRISHNASAMY,MALE,40,10528,,PKR,ZULINAH BINTI A JOHARI,FEMALE,47,1529,LOST DEPOSIT,PAS,CIKGU LAN,MALE,61,9172,,,,,,,,PEJUANG,MOHD FIRDAUS BIN ABD RAHMAN,MALE,37,213,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.155_N. 34,JOHOR,P.155,TENGGARA,N. 34,PANTI,BN-UMNO,,38408,5854,58.41,22435,102,341,21992,UMNO,HAHASRIN BIN HASHIM,MALE,,12599,,PAN,AHMAD DANIEL,MALE,50,2314,LOST DEPOSIT,PPBM,HASSAN BIN RASID,MALE,49,6745,,,,,,,,PEJUANG,AHMADE BIN MOHD. DIN,MALE,35,334,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.155_N. 35,JOHOR,P.155,TENGGARA,N. 35,PASIR RAJA,BN-UMNO,,28045,4888,58.81,16492,88,289,16115,UMNO,RASHIDAH BINTI ISMAIL,FEMALE,,9381,,PKR,FAKHARUDDIN MOSLIM,MALE,34,1976,LOST DEPOSIT,PPBM,INTAN JAWAHIR,FEMALE,45,4493,,,,,,,,PEJUANG,MOHD YUSRI BIN YUSOF,MALE,50,265,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.156_N. 36,JOHOR,P.156,KOTA TINGGI,N. 36,SEDILI,BN-UMNO,,28659,5679,67.61,19377,77,309,18991,UMNO,MUSZAIDE BIN MAKMOR,MALE,,12063,,PAN,TOK MAT KHAIRI,MALE,66,333,LOST DEPOSIT,PPBM,ABANG HASNOL,MALE,36,6384,,,,,,,,PEJUANG,TARIQ ISMAIL BIN MUSTAFA,MALE,44,211,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.156_N. 37,JOHOR,P.156,KOTA TINGGI,N. 37,JOHOR LAMA,BN-UMNO,,32658,6039,62.6,20444,73,273,20098,UMNO,NORLIZAH BINTI NOH,FEMALE,38,12171,,PKR,OMAR MOKHTAR,MALE,29,1527,LOST DEPOSIT,PPBM,ALIAS RASMAN,MALE,31,6132,,,,,,,,PEJUANG,MOHD SHUKOR BIN AHMAD,MALE,61,268,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.157_N. 38,JOHOR,P.157,PENGERANG,N. 38,PENAWAR,BN-UMNO,,29933,7505,63.13,18897,70,300,18527,UMNO,FAUZIAH BINTI MISRI,FEMALE,45,12409,,PAN,NORAZILA SANIP,FEMALE,51,693,LOST DEPOSIT,PPBM,MOHD FAIZAL ASMAR,MALE,46,4904,,,,,,,,PEJUANG,RAHMATTULLAH KAMILIN,MALE,35,521,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.157_N. 39,JOHOR,P.157,PENGERANG,N. 39,TANJUNG SURAT,BN-UMNO,,25132,5903,59.88,15048,81,260,14707,UMNO,AZNAN BIN TAMIN,MALE,37,9850,,PKR,ROSMAN TAHIR,MALE,53,800,LOST DEPOSIT,PAS,CIKGU SELAMAT UJUD,MALE,59,3947,,,,,,,,PEJUANG,SAMAT BIN ATAN,MALE,68,110,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.158_N. 40,JOHOR,P.158,TEBRAU,N. 40,TIRAM,BN-UMNO,,105707,5281,54.81,57938,468,1053,56417,UMNO,HJ. AZIZUL BIN BACHOK,MALE,43,22939,,PKR,S. GOPALAKRISHNAN,MALE,60,12550,,PAS,DR. KARIM,MALE,64,17658,,PBM,MOHD AZMI BIN ALI,MALE,51,860,LOST DEPOSIT,PEJUANG,DATO' ABDUL AZIZ BIN HJ. HARUN,MALE,47,1391,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,BALA SUNDARAM PERUMAL,MALE,49,365,LOST DEPOSIT,INDEPENDENT - PENCIL,JAYASANGKAR A/L JERAMAN,MALE,,654,LOST DEPOSIT,,,,,,
P.158_N. 41,JOHOR,P.158,TEBRAU,N. 41,PUTERI WANGSA,MUDA,,112804,7114,47.93,54063,341,774,52948,MCA,NG YEW AIK,MALE,58,15770,,,,,,,,GERAKAN,LOH KAH YONG,MALE,49,8957,,PBM,STEVEN CHOONG,MALE,64,2471,LOST DEPOSIT,PEJUANG,DR. KHAIRIL ANWAR RAZALI,MALE,50,2468,LOST DEPOSIT,MUDA,AMIRA AISYA,FEMALE,27,22884,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,ADZRIN BIN ADAM,MALE,,398,LOST DEPOSIT,,,,,,,,,,,,
P.159_N. 42,JOHOR,P.159,PASIR GUDANG,N. 42,JOHOR JAYA,PH-DAP,,91882,1922,53.22,48902,243,1262,47397,MCA,CHAN SAN SAN,FEMALE,,17860,,DAP,LIOW CAI TUNG,FEMALE,36,19782,,GERAKAN,DR. KER CHING SHENG,MALE,63,8307,,,,,,,,,,,,,,,,,,,,WARISAN,VICTOR CHEN HAIN KAI,MALE,53,1448,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.159_N. 43,JOHOR,P.159,PASIR GUDANG,N. 43,PERMAS,BN-UMNO,,103598,7926,55.66,57658,607,1024,56027,UMNO,BAHARUDIN BIN MOHAMED TAIB,MALE,,23492,,PAN,SYED OTHMAN (ARAB),MALE,52,14521,,PPBM,TAZUL ARIFIN BIN NASRI,MALE,43,15566,,,,,,,,PEJUANG,MAHAYA BINTI AHAD,FEMALE,44,1036,LOST DEPOSIT,,,,,,,WARISAN,MOHAMED RIDZA BIN BUSU,MALE,54,1412,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.160_N. 44,JOHOR,P.160,JOHOR BAHRU,N. 44,LARKIN,BN-UMNO,,76004,6178,51.75,39329,264,632,38433,UMNO,MOHD HAIRI BIN MAD SHAH,MALE,37,16053,,PKR,DR ZAMIL NAJWAH ARBAIN,MALE,48,6448,,PPBM,ZULKIFLI BUJANG,MALE,44,9875,,,,,,,,PEJUANG,MOHAMAD RIADZ BIN MOHAMAD HASHIM,MALE,49,810,LOST DEPOSIT,MUDA,RASID ABU BAKAR,MALE,28,4948,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,USTAZ NORRAMADAN BIN BUAN,MALE,45,299,LOST DEPOSIT,,,,,,,,,,,,
P.160_N. 45,JOHOR,P.160,JOHOR BAHRU,N. 45,STULANG,PH-DAP,,60577,2866,47.03,28490,184,432,27874,MCA,ANG BOON HENG,MALE,57,9633,,DAP,ANDREW CHEN KAH ENG,MALE,47,12499,,GERAKAN,YOUIS YAP,MALE,36,3789,,PBM,SAIFUL BAHARI,MALE,33,1359,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - SHIRT,MOHARAM BIN BAHAROM,MALE,,594,LOST DEPOSIT,,,,,,,,,,,,
P.161_N. 46,JOHOR,P.161,PULAI,N. 46,PERLING,PH-DAP,,101263,3347,43.28,43826,393,695,42738,MCA,TAN HIANG KEE,FEMALE,,15281,,DAP,LIEW CHIN TONG,MALE,45,18628,,GERAKAN,KHOO SHIAW LEE,MALE,50,8829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.161_N. 47,JOHOR,P.161,PULAI,N. 47,KEMPAS,BN-UMNO,,62011,3514,50.4,31254,235,392,30627,UMNO,RAMLEE BOHANI,MALE,50,11919,,PKR,NAPSIAH KHAMIS,FEMALE,42,8405,,PPBM,TPR. HJ. NUR FAIZAL B. ABDULLAH,MALE,49,8036,,,,,,,,PEJUANG,NORNEKMAN BIN DATO' OSMAN,MALE,48,1358,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - PENCIL,CIKGU AZWAN B. ABD RAHMAN,MALE,40,271,LOST DEPOSIT,INDEPENDENT - SHIRT,MOHD SUHIMI BIN A.RAHMAN,MALE,,158,LOST DEPOSIT,INDEPENDENT - HOUSE,TOK HAMBALI,MALE,62,480,LOST DEPOSIT
P.162_N. 48,JOHOR,P.162,ISKANDAR PUTERI,N. 48,SKUDAI,PH-DAP,,102828,13943,44.87,46144,507,604,45033,MCA,LIM SOON HAI,MALE,,12416,,DAP,MARINA BINTI IBRAHIM,FEMALE,35,26359,,PPBM,KHOO KONG EK,MALE,61,6258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.162_N. 49,JOHOR,P.162,ISKANDAR PUTERI,N. 49,KOTA ISKANDAR,BN-UMNO,,116415,4360,50.26,58507,755,1038,56714,UMNO,PANDAK BIN AHMAD,MALE,58,23133,,PAN,SR. HJ DZULKEFLY BIN AHMAD,MALE,56,18773,,PPBM,SAMSUDIN BIN ISMAIL,MALE,55,12503,,,,,,,,PEJUANG,DR. HJ. ZAINI BIN HJ. ABU BAKAR,MALE,63,1308,LOST DEPOSIT,,,,,,,,,,,,,PSM,ARA,MALE,46,997,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.163_N. 50,JOHOR,P.163,KULAI,N. 50,BUKIT PERMAI,BN-UMNO,,39611,4755,58.29,23088,115,457,22516,UMNO,DATO' MOHD JAFNI MD SHUKOR,MALE,,10889,,,,,,,,PPBM,TOSRIN BIN JARVANTHI,MALE,72,5108,,,,,,,,PEJUANG,MOKHTAR ABDUL WAHAB,MALE,54,385,LOST DEPOSIT,MUDA,AZROL HJ. RAHANI,MALE,41,6134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.163_N. 51,JOHOR,P.163,KULAI,N. 51,BUKIT BATU,PH-PKR,,46237,137,53.68,24820,117,624,24079,MIC,S. SUPAYYAH,MALE,57,9302,,PKR,ARTHUR CHIONG SEN SERN,MALE,32,9439,,GERAKAN,TAN HENG CHOON,MALE,51,3989,,,,,,,,,,,,,,,,,,,,WARISAN,LEE MING WEN,MALE,38,1349,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.163_N. 52,JOHOR,P.163,KULAI,N. 52,SENAI,PH-DAP,,63717,5921,51.13,32580,192,457,31931,MCA,KENNY SHEN POH KUAN,MALE,45,10604,,DAP,WONG BOR YANG,MALE,36,16525,,PPBM,YEO KWEE KWANG,MALE,52,4802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.164_N. 53,JOHOR,P.164,PONTIAN,N. 53,BENUT,BN-UMNO,,28165,5859,62.77,17678,106,300,17272,UMNO,HASNI BIN MOHAMMAD,MALE,63,10896,,PKR,HANIFF GHAZALI HOSMAN,MALE,42,1200,LOST DEPOSIT,PPBM, DATO' ISA BIN AB HAMID,MALE,56,5037,,,,,,,,PEJUANG,ISKANDAR NOOR BIN IBRAHIM,MALE,66,139,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.164_N. 54,JOHOR,P.164,PONTIAN,N. 54,PULAI SEBATANG,BN-UMNO,,46991,6325,54.51,25616,156,543,24917,UMNO,HASRUNIZAH HASSAN (AZAH),FEMALE,45,12473,,PAN,YB SPEAKER SUHAIZAN,MALE,49,6148,,PAS,USTAZ ABDULLAH,MALE,61,5967,,,,,,,,PEJUANG,HJ. ABD. RASHID BIN ABD. HADI,MALE,61,329,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.165_N. 55,JOHOR,P.165,TANJUNG PIAI,N. 55,PEKAN NANAS,BN-MCA,,35865,4835,60.88,21835,108,335,21392,MCA,TAN ENG MENG,MALE,60,11024,,DAP,YEO TUNG SIONG,MALE,43,6189,,GERAKAN,DATO' TAN,MALE,61,2741,,,,,,,,,,,,,,,,,,,,WARISAN,HISHAMUDDIN BIN BUSRI (KINO),MALE,50,1438,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.165_N. 56,JOHOR,P.165,TANJUNG PIAI,N. 56,KUKUP,BN-UMNO,,34624,8201,57.24,19819,82,455,19282,UMNO,DATO' JEFRIDIN ATAN,MALE,54,11640,,PKR, ZAIFUL BAKRI @ EPUL,MALE,43,3276,,PPBM, MAHATHIR ISKANDAR BIN MUHAMMAD,MALE,35,3439,,,,,,,,PEJUANG,ZAMZAM BIN HASHIM,MALE,53,927,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
