UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2021)
P.150_N. 25,JOHOR,P.150,BATU PAHAT,N. 25,RENGIT,27123,81.96,17.03,0.21,0.30,0.08,0.03,0.38,99.92,0.02,0.06,0,6.17,20.72,21.86,16.07,14.8,10.68,6.47,2.6,0.64,49.11,50.89,RURAL
P.151_N. 26,JOHOR,P.151,SIMPANG RENGGAM,N. 26,MACHAP,33764,66.43,28.06,4.86,0.01,0.08,0.08,0.49,99.91,0.01,0.08,0,6.77,23.29,22.04,16.13,14.57,10.16,4.71,2.01,0.32,49.52,50.48,SEMI URBAN
P.151_N. 27,JOHOR,P.151,SIMPANG RENGGAM,N. 27,LAYANG-LAYANG,25147,56.68,29.80,12.51,0.03,0.21,0.17,0.59,97.38,0.01,2.61,0,5.21,19.3,21.81,17.11,15.42,11.85,6.34,2.38,0.58,50.61,49.39,RURAL
P.152_N. 28,JOHOR,P.152,KLUANG,N. 28,MENGKIBOL,66362,28.87,57.79,12.69,0.01,0.09,0.09,0.45,99.91,0.03,0.07,0,5.64,20.21,19.97,16.6,14.88,13.16,6.75,2.34,0.45,49.85,50.15,URBAN
P.152_N. 29,JOHOR,P.152,KLUANG,N. 29,MAHKOTA,65074,55.90,34.43,7.35,0.09,0.45,1.02,0.76,92.06,0.03,0.61,7.3,5.81,22.61,24.44,16.62,13.5,10.19,4.9,1.59,0.32,50.49,49.51,URBAN
P.153_N. 30,JOHOR,P.153,SEMBRONG,N. 30,PALOH,25831,47.59,35.82,15.16,0.81,0.08,0.05,0.49,99.87,0.01,0.12,0,4.79,17.52,21.89,17.66,15.29,13.26,6.69,2.39,0.5,50.46,49.54,RURAL
P.153_N. 31,JOHOR,P.153,SEMBRONG,N. 31,KAHANG,29343,74.33,21.06,2.69,1.42,0.09,0.07,0.33,99.95,0.01,0.04,0,5.19,20.69,27.75,15.82,11.31,13.03,5.03,1.02,0.18,50.03,49.97,SEMI URBAN
P.154_N. 32,JOHOR,P.154,MERSING,N. 32,ENDAU,27924,81.31,13.98,0.95,3.21,0.15,0.05,0.36,99.87,0.01,0.11,0,6.59,22.82,22.92,15.74,14.52,10.69,4.58,1.75,0.4,49.9,50.1,SEMI URBAN
P.154_N. 33,JOHOR,P.154,MERSING,N. 33,TENGGAROH,38408,83.18,13.67,1.41,0.12,0.54,0.79,0.28,95.06,0,0.77,4.17,4.83,20.34,31,15.56,9.29,13.03,4.65,1,0.3,51.07,48.93,RURAL
P.155_N. 34,JOHOR,P.155,TENGGARA,N. 34,PANTI,38408,78.47,14.53,5.52,0.66,0.08,0.13,0.60,99.78,0.02,0.21,0,7.78,23.79,24.12,18.58,11.83,8.37,4.58,0.87,0.09,49.34,50.66,SEMI URBAN
P.155_N. 35,JOHOR,P.155,TENGGARA,N. 35,PASIR RAJA,28045,69.72,18.98,8.15,0.06,0.60,1.98,0.51,93.71,0.02,0.05,6.21,7.33,24.57,22.26,16.64,14.95,8.53,3.4,2.02,0.3,50.7,49.3,RURAL
P.156_N. 36,JOHOR,P.156,KOTA TINGGI,N. 36,SEDILI,28659,97.15,1.59,0.68,0.12,0.07,0.09,0.30,99.95,0,0.05,0,5.36,19.76,28.4,18.52,10.29,10.82,5.68,0.98,0.18,50.19,49.81,RURAL
P.156_N. 37,JOHOR,P.156,KOTA TINGGI,N. 37,JOHOR LAMA,32658,83.31,13.55,2.46,0.02,0.11,0.17,0.38,98.78,0.01,1.21,0,4.99,17.7,24.93,18.9,13.07,11.48,6.72,1.84,0.37,50.3,49.7,RURAL
P.157_N. 38,JOHOR,P.157,PENGERANG,N. 38,PENAWAR,29933,98.45,0.35,0.58,0.29,0.07,0.06,0.19,99.9,0.01,0.1,0,6.11,18.74,24.79,23.14,10.85,7.21,7.83,1.3,0.04,49.32,50.68,RURAL
P.157_N. 39,JOHOR,P.157,PENGERANG,N. 39,TANJUNG SURAT,25132,80.92,17.48,0.64,0.04,0.27,0.38,0.27,97.41,0,0.51,2.07,4.9,17.49,26.57,20.26,10.28,11.69,6.81,1.25,0.75,51.56,48.44,RURAL
P.158_N. 40,JOHOR,P.158,TEBRAU,N. 40,TIRAM,105707,59.39,25.49,11.60,0.11,0.44,1.69,1.28,99.94,0,0.06,0,10.04,27.5,20.34,17.62,14.19,6.95,2.39,0.76,0.2,50.43,49.57,URBAN
P.158_N. 41,JOHOR,P.158,TEBRAU,N. 41,PUTERI WANGSA,112804,37.32,51.23,9.97,0.01,0.26,0.52,0.69,99.82,0.01,0.16,0,9.89,26.87,20.53,19.08,13.47,6.85,2.5,0.71,0.11,50.44,49.56,URBAN
P.159_N. 42,JOHOR,P.159,PASIR GUDANG,N. 42,JOHOR JAYA,91882,42.50,46.15,7.55,0.01,1.48,1.28,1.03,98.15,0.02,0.71,1.12,7.02,23.51,21.39,17.67,16.51,9.5,3.4,0.88,0.13,50.68,49.32,URBAN
P.159_N. 43,JOHOR,P.159,PASIR GUDANG,N. 43,PERMAS,103598,55.54,27.33,11.78,0.09,1.50,2.84,0.92,99.85,0.01,0.13,0.01,8.68,25.66,21.64,17.89,15.19,8.03,2.31,0.5,0.09,50.66,49.34,URBAN
P.160_N. 44,JOHOR,P.160,JOHOR BAHRU,N. 44,LARKIN,76004,64.53,27.94,6.17,0.00,0.24,0.33,0.80,99.28,0.02,0.69,0,4.69,17.07,20.55,17.12,16.01,14.14,7.34,2.5,0.58,49.76,50.24,URBAN
P.160_N. 45,JOHOR,P.160,JOHOR BAHRU,N. 45,STULANG,60577,40.09,53.49,4.68,0.02,0.30,0.46,0.98,97.7,0.03,2.27,0,3.81,14.42,18.96,17.98,16.72,15.65,8.87,2.82,0.77,50.56,49.44,URBAN
P.161_N. 46,JOHOR,P.161,PULAI,N. 46,PERLING,101263,39.55,45.92,12.59,0.18,0.32,0.48,0.96,98.84,0.02,1.14,0,7.76,21.78,20.25,20.02,13.75,9.66,4.66,1.49,0.63,50.82,49.18,URBAN
P.161_N. 47,JOHOR,P.161,PULAI,N. 47,KEMPAS,62011,57.13,30.84,10.36,0.01,0.38,0.63,0.66,99.91,0.02,0.08,0,6.01,20.59,21.46,18.04,16.09,11.09,5.06,1.43,0.24,49.77,50.23,URBAN
P.162_N. 48,JOHOR,P.162,ISKANDAR PUTERI,N. 48,SKUDAI,102828,23.02,61.70,13.55,0.00,0.25,0.97,0.51,99.31,0.01,0.68,0,5.79,20.1,20.53,18.35,17.06,12.16,4.72,1.1,0.19,50.16,49.84,URBAN
P.162_N. 49,JOHOR,P.162,ISKANDAR PUTERI,N. 49,KOTA ISKANDAR,116415,50.15,34.42,13.90,0.25,0.27,0.49,0.52,99.78,0.01,0.21,0,9.4,27.45,21.86,17.75,13.4,6.89,2.43,0.68,0.14,50.08,49.92,URBAN
P.163_N. 50,JOHOR,P.163,KULAI,N. 50,BUKIT PERMAI,39611,54.04,31.91,12.98,0.01,0.23,0.32,0.51,99.99,0.01,0,0,9.78,25.48,19.96,18.27,13.66,7.91,3.5,1.19,0.25,50.1,49.9,SEMI URBAN
P.163_N. 51,JOHOR,P.163,KULAI,N. 51,BUKIT BATU,46237,37.22,53.73,8.14,0.02,0.18,0.27,0.45,99.81,0.01,0.18,0,8.23,24.86,20.15,17.72,14.74,8.23,4.22,1.58,0.28,50.27,49.73,SEMI URBAN
P.163_N. 52,JOHOR,P.163,KULAI,N. 52,SENAI,63717,29.11,56.94,12.38,0.01,0.52,0.56,0.48,99,0.02,0.91,0.07,6.42,21.07,18.94,17.66,16.56,11.26,5.66,2.1,0.33,50.62,49.38,URBAN
P.164_N. 53,JOHOR,P.164,PONTIAN,N. 53,BENUT,28165,82.22,16.96,0.15,0.15,0.05,0.04,0.43,99.95,0.01,0.04,0,5.74,20.91,22.63,16.34,14.79,10.32,6.08,2.63,0.56,49.59,50.41,RURAL
P.164_N. 54,JOHOR,P.164,PONTIAN,N. 54,PULAI SEBATANG,46991,62.90,34.80,1.42,0.10,0.09,0.13,0.57,99.84,0.01,0.16,0,5.75,20.4,21.45,16.35,14.83,11.81,6.46,2.4,0.56,49.86,50.14,SEMI URBAN
P.165_N. 55,JOHOR,P.165,TANJUNG PIAI,N. 55,PEKAN NANAS,35865,55.78,42.42,1.05,0.01,0.10,0.15,0.48,99.92,0.01,0.07,0,6.47,21.71,20.41,17.64,15.11,10.43,5.66,2.14,0.43,50.43,49.57,SEMI URBAN
P.165_N. 56,JOHOR,P.165,TANJUNG PIAI,N. 56,KUKUP,34624,60.55,37.75,0.90,0.01,0.16,0.12,0.50,99.1,0.01,0.89,0,5.37,19.7,21.18,16.6,15.38,12.43,6.26,2.45,0.64,51.14,48.86,RURAL
