UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 140_N. 01,JOHOR,P. 140,SEGAMAT,N. 01,BULOH KASAP,BN - UMNO,ZAHARI SARIP,MALE,55,
P. 140_N. 02,JOHOR,P. 140,SEGAMAT,N. 02,JEMENTAH,PH - DAP,NG KOR SIM,FEMALE,39,
P. 141_N. 03,JOHOR,P. 141,SEKIJANG,N. 03,PEMANIS,BN - UMNO,ANUAR BIN ABD. MANAP,MALE,46,
P. 141_N. 04,JOHOR,P. 141,SEKIJANG,N. 04,KEMELAH,BN - MIC,SARAS,FEMALE,58,
P. 142_N. 05,JOHOR,P. 142,LABIS,N. 05,TENANG,BN - UMNO,HASLINDA BINTI SALLEH,FEMALE,48,
P. 142_N. 06,JOHOR,P. 142,LABIS,N. 06,BEKOK,BN - MCA,TAN CHONG,MALE,47,
P. 143_N. 07,JOHOR,P. 143,PAGOH,N. 07,BUKIT KEPONG,PN - PPBM,DATO' DR SAHRUDDIN BIN JAMAL,MALE,47,
P. 143_N. 08,JOHOR,P. 143,PAGOH,N. 08,BUKIT PASIR,BN - UMNO,MOHAMAD FAZLI BIN MOHAMAD SALLEH,MALE,35,
P. 144_N. 09,JOHOR,P. 144,LEDANG,N. 09,GAMBIR,BN - UMNO,SAHRIHAN JANI,MALE,44,
P. 144_N. 10,JOHOR,P. 144,LEDANG,N. 10,TANGKAK,PH - DAP,EE CHIN LI,MALE,40,
P. 144_N. 11,JOHOR,P. 144,LEDANG,N. 11,SEROM,BN - UMNO,KHAIRIN-NISA,FEMALE,57,
P. 145_N. 12,JOHOR,P. 145,BAKRI,N. 12,BENTAYAN,PH - DAP,NG YAK HOWE,MALE,49,
P. 145_N. 13,JOHOR,P. 145,BAKRI,N. 13,SIMPANG JERAM,PH - AMANAH,DATUK SERI SALAHUDDIN AYUB,MALE,60,
P. 145_N. 14,JOHOR,P. 145,BAKRI,N. 14,BUKIT NANING,BN - UMNO,DATUK HJ MOHD FUAD,MALE,53,
P. 146_N. 15,JOHOR,P. 146,MUAR,N. 15,MAHARANI,PN - PAS,HJ. ABDUL AZIZ TALIB,MALE,64,
P. 146_N. 16,JOHOR,P. 146,MUAR,N. 16,SUNGAI BALANG,BN - UMNO,SELAMAT BIN TAKIM,MALE,56,
P. 147_N. 17,JOHOR,P. 147,PARIT SULONG,N. 17,SEMERAH,BN - UMNO,MOHD FARED KHALID,MALE,42,
P. 147_N. 18,JOHOR,P. 147,PARIT SULONG,N. 18,SRI MEDAN,BN - UMNO,DATO' ZULKURNAIN BIN HJ.KAMISAN,MALE,50,
P. 148_N. 19,JOHOR,P. 148,AYER HITAM,N. 19,YONG PENG,BN - MCA,AH SOON,MALE,38,
P. 148_N. 20,JOHOR,P. 148,AYER HITAM,N. 20,SEMARANG,BN - UMNO,DATUK SAMSOLBARI,MALE,62,
P. 149_N. 21,JOHOR,P. 149,SRI GADING,N. 21,PARIT YAANI,BN - UMNO,DATUK NAJIB SAMURI,MALE,39,
P. 149_N. 22,JOHOR,P. 149,SRI GADING,N. 22,PARIT RAJA,BN - UMNO,RASHIDAH RAMLI,FEMALE,43,
P. 150_N. 23,JOHOR,P. 150,BATU PAHAT,N. 23,PENGGARAM,PH - DAP,GAN PECK CHENG,FEMALE,55,
P. 150_N. 24,JOHOR,P. 150,BATU PAHAT,N. 24,SENGGARANG,BN - UMNO,YUSLA ISMAIL,MALE,54,
P. 150_N. 25,JOHOR,P. 150,BATU PAHAT,N. 25,RENGIT,BN - UMNO,MOHD PUAD ZARKASHI,MALE,65,
