COALITION,PARTY/ INDEPENDENTS,FEMALE,MALE,TOTAL CANDIDATES
BN,UMNO,9,28,37
BN,MCA,4,11,15
BN,MIC,1,3,4
PH,PKR,3,17,20
PH,DAP,4,10,14
PH,AMANAH,4,12,16
PN,PAS,2,13,15
PN,PPBM,3,30,33
PN,GERAKAN,1,7,8
,PBM,,4,4
,PEJUANG,4,38,42
,MUDA,2,5,7
,WARISAN,,6,6
,PSM,,1,1
,PUTRA,,1,1
,INDEPENDENTS,,16,16
GRAND TOTAL,,37,202,239
