Created on,28/8/2023
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Tindak Malaysia (2023), State of Sabah Government Gazette (14th October 1971), The Straits Times 6th October 1971, Bahagian Kabinet dan Dasar (Jabatan Ketua Menteri Sabah)"
Disclaimers,There may be discrepancies for the age of candidates as there is no official data released for the attribute.There may be a presence for missing data points for age attribute for candidates. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives. There was no election as all Sabah Alliance candidates won unopposed
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier).
STATE,State Name
PARLIAMENTARY CODE,Parliamentary Code (1966 - 1974)
PARLIAMENTARY NAME,Parliamentary Name (1966 - 1974)
STATE CONSTITUENCY CODE,State Constituency Code (1966 - 1974)
STATE CONSTITUENCY NAME,State Constituency Code (1966 - 1974)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector Count (No data was found)
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll
TOTAL UNRETURNED VOTES,Total number of ballot papers issued but not put in the ballot box and not returned (no information is available)
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
SABAH ALLIANCE,Sabah Alliance Component Party
SABAH ALLIANCE,Sabah Alliance Candidate Name (Unofficial)
SABAH ALLIANCE CANDIDATE SEX,Male/Female Classification
SABAH ALLIANCE CANDIDATE AGE,Sabah Alliance Candidate Age
SABAH ALLIANCE VOTE,SabahAlliance Valid Vote for the Candidate
SABAH ALLIANCE CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. If none, it is left blank"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
USNO,United Sabah National Organisation
SCA,Sabah Chinese Association
